 Name phenotype reviewCount topEffect thc subtitle
0 "Blue Dream" Hybrid 14306 Creative 18.0 
1 "Sour Diesel" Sativa 8288 Energetic 19.0 "Sour D, Sour Deez"
2 GSC Hybrid 7421 Hungry 19.0 "Girl Scout Cookies"
3 "Green Crack" Sativa 6828 Energetic 17.0 "Green Crush, Mango Crack"
4 "OG Kush" Hybrid 5492 Hungry 18.0 "Premium OG Kush"
5 "Granddaddy Purple" Indica 5376 Sleepy 17.0 "Grand Daddy Purp, Granddaddy Purple Kush, Granddaddy Purps, GDP"
6 GG4 Hybrid 5036 Relaxed 20.0 "Gorilla Glue, Original Glue, Gorilla Glue #4, Glue"
7 "Jack Herer" Sativa 4863 Energetic 18.0 "JH, The Jack, Premium Jack, Platinum Jack"
8 "White Widow" Hybrid 4414 Energetic 15.0 
9 "Pineapple Express" Hybrid 4140 Energetic 20.0 
10 "Durban Poison" Sativa 3581 Energetic 19.0 
11 "Bubba Kush" Indica 3528 Sleepy 17.0 "BK, Bubba, Bubba OG Kush"
12 "Northern Lights" Indica 3501 Sleepy 18.0 NL
13 Trainwreck Hybrid 3109 Euphoric 17.0 
14 AK-47 Hybrid 2953 Talkative 19.0 AK
15 "Blue Cheese" Indica 2753 Sleepy 18.0 
16 "Strawberry Cough" Sativa 2732 Energetic 19.0 
17 Headband Hybrid 2642 Creative 19.0 HB
18 "Lemon Haze" Sativa 2519 Energetic 19.0 
19 Chemdawg Hybrid 2401 Euphoric 18.0 Chemdog
20 Blueberry Indica 2371 Sleepy 17.0 "Berry Blue"
21 "Super Lemon Haze" Sativa 2366 Energetic 19.0 SLH
22 "Super Silver Haze" Sativa 2280 Energetic 21.0 SSH
23 Gelato Hybrid 2240 Euphoric 17.0 "Gelato 42, Larry Bird"
24 "Purple Kush" Indica 2239 Sleepy 19.0 
25 "Grape Ape" Indica 2142 Sleepy 18.0 
26 "Wedding Cake" Hybrid 2136 Relaxed 24.0 "Triangle Mints #23, Pink Cookies"
27 "Alaskan Thunder Fuck" Sativa 2100 Energetic 16.0 "ATF, Alaskan Thunder, Alaskan Thunder F***"
28 "Cherry Pie" Hybrid 2059 Giggly 16.0 
29 "Blackberry Kush" Indica 1988 Sleepy 17.0 "BBK, Auto Blackberry Kush"
30 "Master Kush" Indica 1791 Sleepy 17.0 "High Rise, Grandmaster Kush, Purple SoCal Master Kush"
31 "Maui Wowie" Sativa 1669 Energetic 19.0 "Maui Waui, Mowie Wowie"
32 "Amnesia Haze" Sativa 1624 Energetic 19.0 
33 "Mazar x Blueberry OG" Hybrid 1605 Sleepy 20.0 "Skywalker OG, Skywalker OG Kush"
34 Cheese Hybrid 1587 Hungry 18.0 "Dinafem Cheese"
35 Sherbert Hybrid 1572 Relaxed 18.0 "Sherbet, Sunset Sherbet, Sunset Sherbert"
36 "Purple Punch" Indica 1531 Sleepy 18.0 
37 "Tahoe OG" Hybrid 1458 Sleepy 21.0 "Tahoe OG Kush"
38 "Golden Goat" Hybrid 1442 Energetic 19.0 
39 "Death Star" Indica 1439 Sleepy 19.0 Deathstar
40 Harlequin Sativa 1392 Focused 5.0 
41 "LA Confidential" Indica 1387 Sleepy 17.0 "Confidential, Confidential OG"
42 Chocolope Sativa 1373 Energetic 22.0 D-Line
43 "Platinum Cookies" Hybrid 1365 Relaxed 17.0 "Platinum Girl Scout Cookies, Platinum GSC, PGSC"
44 "Bruce Banner" Hybrid 1354 Creative 21.0 "Banner, OG Banner"
45 "God's Gift" Indica 1341 Sleepy 16.0 
46 "Purple Urkle" Indica 1286 Sleepy 18.0 
47 Tangie Sativa 1284 Energetic 17.0 
48 "Mango Kush" Hybrid 1236 Giggly 21.0 
49 "Lemon Kush" Hybrid 1236 Giggly 19.0 "Cali Lemon Kush"
50 "Banana Kush" Hybrid 1232 Talkative 22.0 
51 "Afghan Kush" Indica 1231 Sleepy 15.0 "Afghani Kush"
52 "White Rhino" Indica 1224 Sleepy 19.0 
53 "Bubble Gum" Hybrid 1219 Happy 17.0 "Bubba Gum"
54 "Hindu Kush" Indica 1210 Sleepy 19.0 "Hindi Kush"
55 "Fire OG" Hybrid 1192 Hungry 20.0 "Fire OG Kush"
56 "Agent Orange" Hybrid 1192 Energetic 17.0 
57 "Purple Haze" Sativa 1175 Energetic 16.0 
58 "Berry White" Indica 1169 Euphoric 16.0 "Barry White"
59 G13 Indica 1167 Sleepy 20.0 "G-13, G Thirteen"
